,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
190,0.00021,0.549,0.596,1wZvlS1RFQKLkRctFlzhcN,3.68e-05,10,0.0988,-4.578,1,0.0282,105.032,0.568
191,0.00128,0.215,0.947,17eTUEwVuVP8BtVA0Y4W8g,0.0,9,0.358,-4.797,0,0.122,104.964,0.138
192,0.0316,0.812,0.816,2UbuXuTdSC0oR0upCbiLx2,3.63e-05,2,0.153,-4.478,1,0.0448,110.965,0.88
193,3.01e-05,0.58,0.981,2qteWVf7459okiPxGwgyez,0.00353,8,0.373,-3.529,1,0.048,105.011,0.39
194,0.0358,0.615,0.81,1VPoFXYjoganemxvLPhhKd,0.0,1,0.289,-6.137,0,0.0506,143.054,0.728
195,0.0189,0.509,0.953,59Edw4IUegPmKFCEZXxJKS,0.28,0,0.275,-3.129,1,0.0883,173.99,0.238
196,0.000864,0.522,0.872,1JzVCEes8SDN1OTKJSrqBc,0.0,7,0.343,-5.327,1,0.0408,97.99,0.961
197,0.017,0.721,0.568,7G1OsYwrJwyQjNBeBTRCbi,0.0,2,0.0786,-7.809,1,0.0363,129.002,0.298
198,2.56e-05,0.583,0.89,7un2iIM7HiJH2vNQWOHmI1,0.00134,1,0.08,-3.593,1,0.0287,134.057,0.742
199,0.0482,0.43,0.946,6qRJZcvgvhxrjt8K0kKOiA,0.0,2,0.261,-2.955,1,0.0907,94.047,0.402
200,0.000666,0.466,0.949,0U6R2Qa0UKCNanoJDP4nt0,0.245,8,0.101,-4.222,0,0.0497,160.0,0.63
