id,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
34hoCwSsssai61QCqzGYtX,0.0946,0.638,1,0.117,0,0.502,-3.876,0.00575,1.56e-06,0.966,159.948
1FSYWdhztV0JtXbxa5JpXq,0.0526,0.131,1,0.516,7,0.3,-11.504,0.657,0.832,0.273,67.06
276zciJ7Fg7Jk6Ta6QuLkp,0.124,0.919,0,0.296,10,0.82,-6.151,0.328,0.00155,0.908,98.381
1LeWIs2hP2r5yOQnVuYoI5,0.032,0.8,1,0.184,7,0.663,-10.87,0.43,0,0.6,129.991
01gDLZsi0j5fWC28FLPNO8,0.0651,0.876,0,0.101,11,0.584,-6.534,0.141,0.501,0.975,138.341
14NEfQx2TKjP3sPO2MaxJI,0.0808,0.429,1,0.0754,8,0.423,-9.982,0.00605,0.835,0.748,104.054
49KJglv5FCTF9FYf8zJd3o,0.0633,0.869,1,0.265,5,0.591,-4.673,0.396,0.586,0.767,107.578
20D61egfxKE9pp3Ffx99Xz,0.24,0.713,0,0.869,5,0.427,-6.474,0.0778,0.184,0.879,93.347
7zEoae6QGC00PQodm9WId8,0.0651,0.362,1,0.0532,1,0.473,-3.419,0.099,0.0653,0.588,102.978
3jEtESxn2ngF25DMD6vbBg,0.133,0.418,0,0.0833,1,0.727,-8.42,0.117,0,0.602,129.952
0CA3A2LhGO9cdx6z5EETy2,0.681,0.627,1,0.267,1,0.549,-6.883,0.0457,0,0.736,177.021
4ntsD33Pgsgk8rUyZLLiUV,0.0682,0.485,0,0.254,10,0.812,-6.164,0.0634,0,0.628,123.004
7L9g4cPfohScjJ8mGwLQWr,0.152,0.78,0,0.874,10,0.775,-5.339,0.397,0,0.707,104.979
1fpfYMT2RTc5W3Zluq5xVA,0.487,0.777,1,0.164,2,0.685,-9.294,0.235,0,0.61,127.932
5mSJgLW43dmFEMK50ECr0S,0.0674,0.69,1,0.494,1,0.629,-5.414,0.0498,0.0104,0.749,130.016
6jl01C724Mk68qlOQLco5I,0.274,0.84,0,0.274,9,0.959,-8.145,0.316,0,0.524,119.933
3kxfsdsCpFgN412fpnW85Y,0.0941,0.607,1,0.123,1,0.745,-10.425,0.172,0.00943,0.356,160.033
15EPc80XuFrb2LmOzGjuRg,0.132,0.445,0,0.0864,1,0.728,-8.417,0.133,0,0.607,129.938
2xD7RvKFJl52xyds3wQFXQ,0.258,0.488,0,0.101,2,0.578,-4.858,0.675,0.000178,0.77,160.862
2Yi7Bh4OFdRfgzWptNR8Ob,0.0499,0.17,1,0.0779,3,0.762,-18.287,0.845,0.927,0.18,101.809
1NFjjAIK4IWjDLzpMry0Kp,0.0398,0.753,0,0.256,1,0.818,-4.219,0.0642,0.256,0.858,119.605
3VLdNTLmKpXu79TMCeRbLO,0.0289,0.168,1,0.118,6,0.537,-11.028,0.795,0.000146,0.279,104.403
7nWxZ1OWN4gtVH1mplNRxV,0.415,0.316,0,0.0907,3,0.42,-7.113,0.516,0,0.726,76.585
20wR5XQpaL1uvVY8gmc4uY,0.0658,0.589,1,0.521,2,0.768,-7.399,0.139,0,0.62,132.035
2yWqv2rNsIBgsoaZSf3THD,0.313,0.239,1,0.256,7,0.521,-7.011,0.00258,1.85e-05,0.715,174.017
6IA63Wf2Onw1kq9ur1ygFi,0.362,0.516,0,0.319,4,0.659,-4.077,0.00561,0,0.738,93.796
6P6HGbOoWUynE2U7yLwLnY,0.149,0.61,1,0.103,1,0.593,-5.21,0.108,1.52e-06,0.731,160.084
0NfYAsKygCYwPA2BgTZ1qg,0.207,0.781,0,0.305,7,0.528,-5.879,0.264,0,0.708,97.8
5h5tBFnbcVioFXiOixTn6E,0.0943,0.0985,1,0.442,1,0.587,-8.948,0.0152,0,0.698,133.954
2YTrgbxNPcqzSXQY9acap9,0.057,0.612,1,0.112,6,0.659,-8.446,0.0816,2.69e-05,0.89,90.005
