uri,speechiness,valence,mode,liveness,key,danceability,loudness,acousticness,instrumentalness,energy,tempo
spotify:track:6ae0TVkpnFvn0dz4zIVlyd,0.0403,0.319,0,0.303,0,0.448,-4.107,0.0281,3.03e-06,0.769,86.982
spotify:track:6ZsKRsnPsdZvXfqqE6bTPy,0.0357,0.684,1,0.0912,5,0.573,-5.643,0.385,0,0.602,90.692
spotify:track:2swkCYRdMnyeztxUOGUYGS,0.0365,0.154,0,0.111,5,0.19,-13.231,0.949,0.00358,0.274,86.331
spotify:track:35WhawODuOs0kaHxwmPA9D,0.0345,0.0952,0,0.119,11,0.518,-11.085,0.266,0.00432,0.492,131.979
spotify:track:5UzTtUZper0CphnqZYvsIu,0.0382,0.159,0,0.108,11,0.319,-8.929,0.245,8.23e-06,0.426,114.553
spotify:track:4sOX1nhpKwFWPvoMMExi3q,0.0337,0.427,0,0.0922,4,0.66,-2.671,0.0884,0,0.689,127.98
spotify:track:0AfYeE3bfJRcq9J2hUJXmM,0.0506,0.849,0,0.108,11,0.69,-4.696,0.0142,0,0.897,140.05
spotify:track:4trx1lgbQ9FtrI5V9Y8C5Y,0.181,0.683,0,0.876,0,0.62,-5.673,0.0627,0,0.812,91.97
spotify:track:5InWRmnfgjVwQWoXHNBATu,0.076,0.573,1,0.473,9,0.696,-2.963,0.0662,0,0.893,97.954
spotify:track:3zr5liODTQ9fdtrDOPatiS,0.188,0.444,1,0.278,6,0.498,-4.589,0.082,0,0.941,153.859
spotify:track:5y6pj7OeBFF0CVgZKhRbOG,0.0618,0.826,1,0.317,4,0.777,-4.464,0.0348,0,0.895,111.987
spotify:track:2K87XMYnUMqLcX3zvtAF4G,0.0369,0.595,0,0.0657,0,0.73,-5.672,0.109,0,0.703,138.113
spotify:track:3pzjHKrQSvXGHQ98dx18HI,0.0956,0.793,0,0.0811,5,0.845,-8.118,0.59,0.00142,0.567,125.02
