album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
RAF,25qGbr8e0Mxv2GfyRJHoXq,A$AP Mob,7yO4IdJjCEPz7YgZMe25iS,255413,6kl1qtQXQsFiIWRBK24Cfp,RAF,67,0.523,0.848,0.663,0.0,8,0.108,-5.606,0,0.245,133.993,0.333
Pure Water (with Migos),1ypNy6o0C2ZbuuPPYkavVl,Mustard,0YinUQ50QDB7ZxSCLyQ40k,194519,63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos),58,0.172,0.68,0.559,0.0,0,0.318,-5.545,1,0.129,202.006,0.137
Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,Cardi B,4kYSro6naA4h99UJvo89HB,262308,2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),71,0.0511,0.968,0.589,0.0,11,0.0731,-7.808,1,0.255,129.993,0.268
FREQUENCY,5bL966hQZeNU3aLRTBoKGM,Ian Frequency,6FjVpj5vYrYFwOBuHgwSgd,247432,28uHolJQrdm1gk4JVrS81j,Moonlight (feat. Jaden Smith),0,0.138,0.76,0.67,8.71e-05,0,0.186,-6.415,1,0.0725,135.015,0.0383
rockstar,1YCRXKLDRB0UnbrFUJ4F6e,Post Malone,246dkjvS1zLTtiykXe5h60,218320,1OmcAT5Y8eg5bUPv9qJT4R,rockstar,18,0.128,0.58,0.531,0.000127,5,0.143,-6.631,0,0.0776,159.786,0.141
Nothing Was The Same,1XslIirSxfAhhxRdn4Li9t,Drake,3TVXtAsR1Inumwj472S9r4,432853,4NVNapccSX7E5JLiW0uQEy,Pound Cake / Paris Morton Music 2,63,0.139,0.52,0.762,1.11e-05,2,0.114,-6.75,1,0.538,164.096,0.265
The College Dropout (Explicit),1NRRN5RWwfuLmQdjshz0L7,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,324440,06TqBu4Vi2DEu2F2wNTEnb,Never Let Me Down,1,0.423,0.459,0.816,0.0,11,0.169,-4.872,0,0.403,80.293,0.643
To Pimp A Butterfly,5uP9oyMK5lpzbB7K6UeT3X,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,287360,77hlBnevpj8cbiH7sc0Iro,Wesley's Theory,1,0.359,0.509,0.787,2.76e-05,7,0.26,-6.754,1,0.265,114.449,0.507
untitled unmastered.,5WSPnYTQ6YZ1UvBRi5quhO,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,258826,6JuiFcyB8KixCLgLIRwjQf,untitled 02 06.23.2014.,2,0.325,0.677,0.501,0.0,5,0.648,-10.446,1,0.485,90.273,0.112
Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,255653,4bEcoz1OcfMgUbp2ft8ieQ,911 / Mr. Lonely,74,0.0456,0.48,0.61,0.0,0,0.313,-7.042,1,0.305,90.034,0.297
OKRA,0dXN05tQ4StX1W0lwN95Q6,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,151026,74ZovzRxHBvCq5yIwe8boh,OKRA,68,0.0456,0.589,0.57,1.51e-06,1,0.137,-9.54,1,0.361,136.203,0.441
